driver_or_team,tw_account,
hamilton,@lewishamilton,
bottas,@valtteribottas,
ricciardo,@danielricciardo,
max_verstappen,@max33verstappen,
perez,@schecoperez,
ocon,@oconesteban,
massa,@massafelipe19,
stroll,@lance_stroll,
alonso,@alo_oficial,
vandoorne,@svandoorne,
kvyat,@dany_kvyat,
sainz,@carlosainz,Carlossainz55
grosjean,@rgrosjean,
kevin_magnussen,@kevinmagnussen,
hulkenberg,@nicohulkenberg,
jolyon_palmer,@jolyonpalmer,
ericsson,@ericsson_marcus,
wehrlein,@pwehrlein,
mercedes,@mercedesamgf1,
red_bull,@redbullracing,
ferrari,@scuderiaferrari,
force_india,@forceindiaf1,
williams,@williamsracing,
mclaren,@mclarenf1,
toro_rosso,@tororossospy,
haas,@haasf1team,
renault,@renaultsportf1,
sauber,@sauberf1team,
